sample_index,timestamp,eeg
480,1782309407.7727401,648
481,1782309407.7727473,202
482,1782309407.7727487,746
483,1782309407.7727501,149
484,1782309407.7727513,690
485,1782309407.7727525,195
486,1782309407.7727537,755
487,1782309407.772755,146
488,1782309407.7727563,719
489,1782309407.7727575,175
490,1782309407.7727587,775
491,1782309407.7780063,135
492,1782309407.7780123,721
493,1782309407.7780144,179
494,1782309407.778016,763
495,1782309407.7780175,141
496,1782309407.7780187,693
497,1782309407.7780201,193
498,1782309407.7780213,733
499,1782309407.7780228,161
500,1782309407.778024,767
501,1782309407.7780373,228
502,1782309407.7780387,690
503,1782309407.7780404,188
504,1782309407.7780416,720
505,1782309407.7780428,258
506,1782309407.7780445,631
507,1782309407.7780457,225
508,1782309407.778047,687
509,1782309407.7780485,284
510,1782309407.7780497,612
511,1782309407.778057,238
512,1782309407.778059,679
513,1782309407.7780602,290
514,1782309407.7780616,606
515,1782309407.7780628,249
516,1782309407.778064,670
517,1782309407.7780654,303
518,1782309407.7780666,597
519,1782309407.778068,254
520,1782309407.7780693,669
521,1782309407.7780755,304
522,1782309407.778077,593
523,1782309407.7780783,256
524,1782309407.7780793,659
525,1782309407.7780807,205
526,1782309407.7780821,595
527,1782309407.7780833,254
528,1782309407.7780843,657
529,1782309407.7780857,207
530,1782309407.7780871,588
531,1782309407.7794611,258
532,1782309407.7794669,656
533,1782309407.7794697,213
534,1782309407.7794714,582
535,1782309407.7794728,264
536,1782309407.7794743,655
537,1782309407.7794755,218
538,1782309407.7794766,580
539,1782309407.779478,269
540,1782309407.7794795,649
541,1782309407.7794914,216
542,1782309407.7794929,579
543,1782309407.7794943,272
544,1782309407.7794957,647
545,1782309407.7794971,223
546,1782309407.7794988,577
547,1782309407.7795,269
548,1782309407.7795012,645
549,1782309407.7795026,225
550,1782309407.7795038,713
551,1782309407.9265635,275
552,1782309407.9265883,645
553,1782309407.9265938,229
554,1782309407.926598,716
555,1782309407.926602,271
556,1782309407.9266052,639
557,1782309407.926609,225
558,1782309407.9266124,708
559,1782309407.9266157,279
560,1782309407.92662,635
561,1782309408.1337798,231
562,1782309408.1337929,707
563,1782309408.1337953,284
564,1782309408.133797,632
565,1782309408.1337984,230
566,1782309408.1338,701
567,1782309408.1338015,280
568,1782309408.133803,626
569,1782309408.1338055,233
570,1782309408.1338072,698
571,1782309408.1338234,286
572,1782309408.133825,622
573,1782309408.1338265,238
574,1782309408.1338282,689
575,1782309408.133829,194
576,1782309408.1338305,610
577,1782309408.133832,248
